,0
ACSF1,20.0-2.0
Adiac,1.0-0.1
AllGestureWiimoteX,30.0-1.5
AllGestureWiimoteY,30.0-2.5
AllGestureWiimoteZ,40.0-2.0
ArrowHead,3.0-2.5
BME,0.1-0.1
Beef,20.0-0.1
BeetleFly,0.1-1.0
BirdChicken,30.0-2.5
CBF,10.0-0.5
Car,30.0-0.5
Chinatown,0.1-2.5
ChlorineConcentration,5.0-0.1
CinCECGTorso,3.0-0.5
Coffee,0.1-0.1
Computers,0.1-1.0
CricketX,10.0-2.0
CricketY,1.0-0.1
CricketZ,5.0-2.5
Crop,1.0-0.5
DiatomSizeReduction,3.0-2.5
DistalPhalanxOutlineAgeGroup,0.5-0.1
DistalPhalanxOutlineCorrect,0.5-2.5
DistalPhalanxTW,5.0-0.5
DodgerLoopDay,0.1-0.5
DodgerLoopGame,10.0-1.0
DodgerLoopWeekend,20.0-2.5
ECG200,20.0-2.0
ECG5000,5.0-2.5
ECGFiveDays,0.1-0.1
EOGHorizontalSignal,3.0-1.0
EOGVerticalSignal,20.0-1.0
Earthquakes,0.1-0.1
ElectricDevices,30.0-2.0
EthanolLevel,0.5-2.0
FaceAll,0.5-0.5
FaceFour,30.0-0.5
FacesUCR,40.0-0.5
FiftyWords,0.5-2.5
Fish,20.0-1.0
FordA,10.0-2.0
FordB,40.0-2.5
FreezerRegularTrain,0.1-0.5
FreezerSmallTrain,0.1-1.0
Fungi,3.0-2.5
GestureMidAirD1,0.1-0.5
GestureMidAirD2,20.0-2.0
GestureMidAirD3,3.0-0.1
GesturePebbleZ1,10.0-0.1
GesturePebbleZ2,10.0-0.1
GunPoint,0.1-1.0
GunPointAgeSpan,0.5-2.5
GunPointMaleVersusFemale,0.1-0.1
GunPointOldVersusYoung,0.1-0.1
Ham,10.0-0.1
HandOutlines,10.0-0.5
Haptics,40.0-2.0
Herring,20.0-0.5
HouseTwenty,3.0-0.5
InlineSkate,5.0-2.5
InsectEPGRegularTrain,0.1-0.1
InsectEPGSmallTrain,0.1-0.1
InsectWingbeatSound,0.1-1.0
ItalyPowerDemand,0.1-0.1
LargeKitchenAppliances,10.0-2.5
Lightning2,1.0-1.0
Lightning7,30.0-2.0
Mallat,30.0-2.5
Meat,5.0-0.5
MedicalImages,40.0-2.0
MelbournePedestrian,30.0-1.0
MiddlePhalanxOutlineAgeGroup,0.1-2.5
MiddlePhalanxOutlineCorrect,0.5-2.5
MiddlePhalanxTW,0.1-2.5
MixedShapesRegularTrain,5.0-2.5
MixedShapesSmallTrain,1.0-1.0
MoteStrain,10.0-0.5
NonInvasiveFetalECGThorax1,5.0-2.5
NonInvasiveFetalECGThorax2,5.0-1.5
OSULeaf,40.0-1.5
OliveOil,0.1-0.1
PLAID,3.0-2.0
PhalangesOutlinesCorrect,0.1-1.5
Phoneme,10.0-2.5
PickupGestureWiimoteZ,5.0-0.5
PigAirwayPressure,5.0-0.1
PigArtPressure,30.0-0.5
PigCVP,30.0-2.0
Plane,0.1-0.1
PowerCons,5.0-0.1
ProximalPhalanxOutlineAgeGroup,0.1-0.1
ProximalPhalanxOutlineCorrect,0.5-0.1
ProximalPhalanxTW,10.0-2.5
RefrigerationDevices,0.1-1.5
Rock,20.0-0.1
ScreenType,1.0-2.0
SemgHandGenderCh2,40.0-0.1
SemgHandMovementCh2,40.0-2.5
SemgHandSubjectCh2,5.0-0.1
ShakeGestureWiimoteZ,20.0-2.5
ShapeletSim,20.0-0.5
ShapesAll,20.0-2.5
SmallKitchenAppliances,5.0-1.0
SmoothSubspace,20.0-1.0
SonyAIBORobotSurface1,3.0-0.1
SonyAIBORobotSurface2,0.5-2.5
StarLightCurves,10.0-2.5
Strawberry,0.1-0.5
SwedishLeaf,3.0-1.5
Symbols,10.0-0.5
SyntheticControl,1.0-0.5
ToeSegmentation1,0.5-0.5
ToeSegmentation2,30.0-0.5
Trace,0.1-0.1
TwoLeadECG,20.0-0.5
TwoPatterns,0.1-0.5
UMD,0.1-0.1
UWaveGestureLibraryAll,0.1-0.1
UWaveGestureLibraryX,3.0-2.0
UWaveGestureLibraryY,3.0-0.5
UWaveGestureLibraryZ,5.0-2.0
Wafer,0.1-1.0
Wine,0.1-1.0
WordSynonyms,10.0-0.5
Worms,10.0-1.5
WormsTwoClass,40.0-0.5
Yoga,10.0-1.5
